feature,importance
alert_severity,0.4636134
asset_criticality_high,0.1719918
protocol_TCP,0.08473384
duration,0.047167875
asset_criticality_critical,0.03838254
department_General,0.035303846
similar_alerts_last_hour,0.016382303
bytes_received,0.008857999
repeated_behavior_score,0.008819457
recurring_alert,0.0070151556
asset_criticality_medium,0.0054640207
authentication_method_unknown,0.0050463704
asset_value,0.0049052844
bytes_sent,0.0048105656
host_role_hr_workstation,0.00429308
host_role_security_appliance,0.004025998
historically_seen,0.003132643
host_role_jumpbox,0.0030187045
host_role_network_device,0.0024365485
enrichment_abuse_score,0.0018232206
enrichment_vt_score,0.0018153384
user_role_sysadmin,0.0017339332
integrity_level_System,0.001678652
user_role_analyst,0.0016768061
vulnerability_scan,0.0016677892
authentication_method_biometric,0.0016603278
asset_criticality_low,0.0016598497
user_role_executive,0.0016593618
user_role_finance,0.0016565865
integrity_level_Root,0.0016556627
host_role_sales_server,0.0016477995
dst_port,0.0016389935
authentication_method_SSH_key,0.0016002556
mfa_used,0.0015857217
timeline_position_late,0.0015826584
integrity_level_Medium,0.0015764624
user_role_developer,0.0015759098
department_Engineering,0.0015592731
host_role_sales_workstation,0.0015564461
user_role_devops,0.00155399
timeline_position_early,0.0015483989
timeline_position_mid,0.0015458527
authentication_method_SSO_SAML,0.0015429655
authentication_method_API_token,0.0015428613
known_admin_activity,0.001541795
host_role_dev_workstation,0.0015381356
host_role_sales_service,0.0015362515
department_Sales,0.0015358872
business_hours,0.0015336018
signed_binary,0.0015331474
integrity_level_High,0.001530971
host_role_dev_service,0.0015263848
user_role_service_account,0.0015186958
timeline_position_end,0.0015172543
authentication_method_smartcard,0.0015155633
host_role_server_server,0.0015152151
user_role_hr,0.001504338
authentication_method_MFA_sms,0.001504077
department_IT,0.0014903202
host_role_server_workstation,0.001487318
maintenance_window,0.0014665772
authentication_method_kerberos,0.0014646967
authentication_method_password,0.0014635387
host_role_server_service,0.0014568364
weekend_activity,0.0014560712
host_role_dev_server,0.0014286782
authentication_method_certificate,0.0013966577
patch_window,0.0013958894
scheduled_backup,0.0013822848
user_role_sales,0.0013536583
authentication_method_MFA_push,0.0012596754
protocol_UDP,0.0
asset_criticality_unknown,0.0
host_role_application_server,0.0
host_role_backup_server,0.0
host_role_database_server,0.0
host_role_developer_workstation,0.0
host_role_dhcp_server,0.0
host_role_dns_server,0.0
host_role_docker_host,0.0
host_role_domain_controller,0.0
host_role_exchange_server,0.0
host_role_executive_workstation,0.0
host_role_file_server,0.0
host_role_finance_workstation,0.0
host_role_kiosk_machine,0.0
host_role_kubernetes_node,0.0
host_role_mail_server,0.0
host_role_monitoring_server,0.0
host_role_sccm_server,0.0
host_role_security_scanner,0.0
host_role_unknown,0.0
host_role_vpn_gateway,0.0
host_role_web_server,0.0
department_Security,0.0
department_unknown,0.0
user_role_unknown,0.0
integrity_level_unknown,0.0
timeline_position_unknown,0.0
