---------------------------------------------------------------------------------------------------
Date: 4/25/2026 -- 21:49:12 (uptime: 0d, 00h 00m 00s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 6166
decoder.bytes                                                | Total                     | 4023261
decoder.ipv4                                                 | Total                     | 5947
decoder.ipv6                                                 | Total                     | 51
decoder.ethernet                                             | Total                     | 6166
decoder.arp                                                  | Total                     | 168
decoder.tcp                                                  | Total                     | 5747
tcp.syn                                                      | Total                     | 289
tcp.synack                                                   | Total                     | 169
tcp.rst                                                      | Total                     | 232
decoder.udp                                                  | Total                     | 171
decoder.icmpv4                                               | Total                     | 80
decoder.avg_pkt_size                                         | Total                     | 652
decoder.max_pkt_size                                         | Total                     | 25254
flow.total                                                   | Total                     | 206
flow.tcp                                                     | Total                     | 181
flow.udp                                                     | Total                     | 24
flow.icmpv4                                                  | Total                     | 1
flow.tcp_reuse                                               | Total                     | 32
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 16
decoder.event.icmpv4.unknown_code                            | Total                     | 20
flow.wrk.flows_evicted_needs_work                            | Total                     | 30
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 59
flow.wrk.flows_evicted                                       | Total                     | 36
flow.wrk.flows_injected                                      | Total                     | 30
tcp.sessions                                                 | Total                     | 168
tcp.ssn_from_cache                                           | Total                     | 33
tcp.ssn_from_pool                                            | Total                     | 135
tcp.pseudo                                                   | Total                     | 2
tcp.invalid_checksum                                         | Total                     | 336
tcp.ack_unseen_data                                          | Total                     | 234
tcp.segment_from_cache                                       | Total                     | 1604
tcp.segment_from_pool                                        | Total                     | 156
tcp.stream_depth_reached                                     | Total                     | 1
tcp.reassembly_gap                                           | Total                     | 194
tcp.overlap                                                  | Total                     | 92
app_layer.flow.http                                          | Total                     | 70
app_layer.tx.http                                            | Total                     | 133
app_layer.error.http.parser                                  | Total                     | 1
app_layer.flow.tls                                           | Total                     | 2
app_layer.error.tls.gap                                      | Total                     | 1
app_layer.flow.ssh                                           | Total                     | 2
app_layer.flow.mdns                                          | Total                     | 1
app_layer.flow.failed_udp                                    | Total                     | 6
app_layer.flow.dns_udp                                       | Total                     | 16
app_layer.tx.dns_udp                                         | Total                     | 34
app_layer.flow.sip_udp                                       | Total                     | 1
app_layer.error.sip_udp.parser                               | Total                     | 59
app_layer.tx.mdns                                            | Total                     | 14
flow.end.state.new                                           | Total                     | 29
flow.end.state.established                                   | Total                     | 22
flow.end.state.closed                                        | Total                     | 155
flow.end.tcp_state.syn_sent                                  | Total                     | 7
flow.end.tcp_state.syn_recv                                  | Total                     | 1
flow.end.tcp_state.established                               | Total                     | 2
flow.end.tcp_state.fin_wait2                                 | Total                     | 1
flow.end.tcp_state.close_wait                                | Total                     | 2
flow.end.tcp_state.closed                                    | Total                     | 155
flow.end.tcp_liberal                                         | Total                     | 28
flow.mgr.rows_per_sec                                        | Total                     | 9175
flow.spare                                                   | Total                     | 8400
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 10
flow.mgr.flows_notimeout                                     | Total                     | 10
memcap.pressure                                              | Total                     | 14
memcap.pressure_max                                          | Total                     | 14
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 140
flow.recycler.queue_max                                      | Total                     | 50
tcp.memuse                                                   | Total                     | 9961472
tcp.reassembly_memuse                                        | Total                     | 1835008
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
---------------------------------------------------------------------------------------------------
Date: 4/25/2026 -- 21:53:28 (uptime: 0d, 00h 00m 14s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 6166
decoder.bytes                                                | Total                     | 4023261
decoder.ipv4                                                 | Total                     | 5947
decoder.ipv6                                                 | Total                     | 51
decoder.ethernet                                             | Total                     | 6166
decoder.arp                                                  | Total                     | 168
decoder.tcp                                                  | Total                     | 5747
tcp.syn                                                      | Total                     | 289
tcp.synack                                                   | Total                     | 169
tcp.rst                                                      | Total                     | 232
decoder.udp                                                  | Total                     | 171
decoder.icmpv4                                               | Total                     | 80
decoder.avg_pkt_size                                         | Total                     | 652
decoder.max_pkt_size                                         | Total                     | 25254
flow.total                                                   | Total                     | 206
flow.tcp                                                     | Total                     | 181
flow.udp                                                     | Total                     | 24
flow.icmpv4                                                  | Total                     | 1
flow.tcp_reuse                                               | Total                     | 32
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 16
