arkime-capture  | Feb 11 17:59:55 http.c:277 arkime_http_send_sync(): Retry http://opensearch:9200/_template/arkime_sessions3_template?filter_path=**._meta error 'Couldn't connect to server'
arkime-capture  | Feb 11 17:59:55 http.c:277 arkime_http_send_sync(): Retry http://opensearch:9200/_template/arkime_sessions3_template?filter_path=**._meta error 'Couldn't connect to server'
arkime-capture  | Feb 11 17:59:55 http.c:277 arkime_http_send_sync(): Retry http://opensearch:9200/_template/arkime_sessions3_template?filter_path=**._meta error 'Couldn't connect to server'
arkime-capture  | Feb 11 17:59:55 http.c:281 arkime_http_send_sync(): libcurl failure http://opensearch:9200/_template/arkime_sessions3_template?filter_path=**._meta error 'Couldn't connect to server'
arkime-capture  | Feb 11 17:59:55 db.c:2249 arkime_db_check(): ERROR - Couldn't load version information, database (http://opensearch:9200) might be down or not initialized.
arkime-capture  | Feb 11 18:00:50 http.c:318 arkime_http_send_sync(): 1/1 SYNC 404 http://opensearch:9200/arkime_sequence/_doc/fn-fb26a7c8c0ca 0/70 0ms 10ms
arkime-capture  | Feb 11 18:00:50 http.c:318 arkime_http_send_sync(): 1/1 SYNC 404 http://opensearch:9200/arkime_stats/_doc/fb26a7c8c0ca 0/64 0ms 5ms
arkime-capture  | Feb 11 18:00:50 db.c:2844 arkime_db_init(): WARNING - No Geo Country file could be loaded, see https://arkime.com/settings#geolite2country
arkime-capture  | Feb 11 18:00:50 db.c:2855 arkime_db_init(): WARNING - No Geo ASN file could be loaded, see https://arkime.com/settings#geolite2asn
arkime-capture  | Feb 11 18:00:50 parsers.c:711 arkime_parsers_init(): Error with ./parsers: Error opening directory ΓÇ£./parsersΓÇ¥: No such file or directory
arkime-capture  | Feb 11 18:00:50 reader-libpcap-file.c:209 reader_libpcapfile_process(): Processing /data/pcap/arkime_capture.pcap
arkime-capture  | Feb 11 18:00:51 packet.c:694 arkime_packet_log(): packets: 1929 current sessions: 9/11 oldest: 0 - recv: 1929 drop: 0 (0.00) queue: 1 disk: 0 packet: 0 close: 0 ns: 0 frags: 0/0 pstats: 1929/0/0/0/0/0/1 ver: 5.8.2 mem: 5.21%
