cve_id,cve_year,severity,epss,cvss,vt_score,abuse_score,misp_matches,has_sql_injection,has_buffer_overflow,has_priv_escalation,in_kev
CVE-2013-4235,2013,5,0.00059,4.7,0,0,0,0,0,0,0
CVE-2019-11727,2019,7,0.00248,5.3,0,0,0,0,0,0,0
CVE-2018-1000035,2018,10,0.62663,7.8,0,0,0,0,0,0,0
CVE-2019-18276,2019,10,0.50225,7.8,0,0,0,0,0,0,0
CVE-2019-14855,2019,7,0.00339,7.5,0,0,0,0,0,0,0
CVE-2019-19232,2019,7,0.02868,7.5,0,0,0,0,0,0,0
CVE-2018-1000035,2018,10,0.62663,7.8,0,0,0,0,0,0,0
CVE-2017-12588,2017,13,0.0043,9.8,0,0,0,0,0,0,0
CVE-2018-15919,2018,7,0.02073,5.3,0,0,0,0,0,0,0
CVE-2019-17540,2019,7,0.0034,0.0,0,0,0,0,0,0,0
CVE-2018-1000035,2018,10,0.62663,7.8,0,0,0,0,0,0,0
CVE-2019-14855,2019,7,0.00339,7.5,0,0,0,0,0,0,0
CVE-2020-1747,2020,10,0.01846,9.8,0,0,0,0,0,0,0
CVE-2019-19232,2019,7,0.02868,7.5,0,0,0,0,0,0,0
CVE-2019-1010204,2019,7,0.00143,5.5,0,0,0,0,0,0,0
CVE-2017-12588,2017,13,0.0043,9.8,0,0,0,0,0,0,0
CVE-2017-18342,2017,13,0.04807,9.8,0,0,0,0,0,0,0
CVE-2017-15088,2017,13,0.03704,9.8,0,0,0,0,0,0,0
CVE-2016-5011,2016,7,0.00143,4.6,0,0,0,0,0,0,0
CVE-2015-5191,2015,7,0.00066,6.7,0,0,0,0,0,0,0
CVE-2019-15847,2019,10,0.00537,7.5,0,0,0,0,0,0,0
CVE-2019-11727,2019,7,0.00248,5.3,0,0,0,0,0,0,0
CVE-2017-18018,2017,7,0.00056,7.1,0,0,0,0,0,0,0
CVE-2017-9502,2017,7,0.00552,5.3,0,0,0,0,0,0,0
CVE-2017-15088,2017,13,0.03704,9.8,0,0,0,0,0,0,0
CVE-2019-1552,2019,5,0.00074,0.0,0,0,0,0,0,0,0
CVE-2018-7738,2018,10,0.0007,7.8,0,0,0,0,0,0,0
CVE-2017-7244,2017,7,0.00526,5.5,0,0,0,0,0,0,0
CVE-2019-19232,2019,7,0.02868,7.5,0,0,0,0,0,0,0
CVE-2013-4235,2013,5,0.00059,4.7,0,0,0,0,0,0,0
CVE-2019-13050,2019,10,0.00554,7.5,0,0,0,0,0,0,0
CVE-2020-8631,2020,5,0.00113,5.5,0,0,0,0,0,0,0
CVE-2020-1927,2020,7,0.0656,6.1,0,0,0,0,0,0,0
CVE-2016-7944,2016,13,0.00601,0.0,0,0,0,0,0,0,0
CVE-2020-1927,2020,7,0.0656,6.1,0,0,0,0,0,0,0
CVE-2020-1927,2020,7,0.0656,6.1,0,0,0,0,0,0,0
CVE-2019-11727,2019,7,0.00248,5.3,0,0,0,0,0,0,0
CVE-2018-7738,2018,10,0.0007,7.8,0,0,0,0,0,0,0
CVE-2019-18276,2019,10,0.50225,7.8,0,0,0,0,0,0,0
CVE-2019-15847,2019,10,0.00537,7.5,0,0,0,0,0,0,0
CVE-2018-7738,2018,10,0.0007,7.8,0,0,0,0,0,0,0
CVE-2016-7947,2016,13,0.03155,9.8,0,0,0,0,0,0,0
CVE-2019-13050,2019,10,0.00554,7.5,0,0,0,0,0,0,0
CVE-2019-15847,2019,10,0.00537,7.5,0,0,0,0,0,0,0
CVE-2016-7039,2016,9,0.94184,7.0,0,0,0,0,0,0,1
CVE-2016-5195,2016,9,0.94184,7.0,0,0,0,0,0,0,1
CVE-2016-8666,2016,9,0.94184,7.0,0,0,0,0,0,0,1
CVE-2017-12588,2017,13,0.0043,9.8,0,0,0,0,0,0,0
CVE-2017-15088,2017,13,0.03704,9.8,0,0,0,0,0,0,0
CVE-2019-1552,2019,5,0.00074,0.0,0,0,0,0,0,0,0
CVE-2018-6485,2018,13,0.01095,9.8,0,0,0,0,0,0,0
CVE-2016-7944,2016,13,0.00601,0.0,0,0,0,0,0,0,0
CVE-2015-2987,2015,5,0.00231,0.0,0,0,0,0,0,0,0
CVE-2016-5011,2016,7,0.00143,4.6,0,0,0,0,0,0,0
CVE-2020-1752,2020,5,0.0,0.0,0,0,0,0,0,0,0
CVE-2018-15919,2018,7,0.02073,5.3,0,0,0,0,0,0,0
CVE-2017-12588,2017,13,0.0043,9.8,0,0,0,0,0,0,0
CVE-2019-19645,2019,5,0.00401,0.0,0,0,0,1,0,0,0
CVE-2020-1752,2020,5,0.0,0.0,0,0,0,0,0,0,0
CVE-2015-2987,2015,5,0.00231,0.0,0,0,0,0,0,0,0
CVE-2018-15919,2018,7,0.02073,5.3,0,0,0,0,0,0,0
CVE-2017-18342,2017,13,0.04807,9.8,0,0,0,0,0,0,0
CVE-2016-7039,2016,9,0.94184,7.0,0,0,0,0,0,0,1
CVE-2016-5195,2016,9,0.94184,7.0,0,0,0,0,0,0,1
CVE-2016-8666,2016,9,0.94184,7.0,0,0,0,0,0,0,1
CVE-2017-15088,2017,13,0.03704,9.8,0,0,0,0,0,0,0
CVE-2019-17595,2019,7,0.00086,0.0,0,0,0,0,0,0,0
CVE-2019-17540,2019,7,0.0034,0.0,0,0,0,0,0,0,0
CVE-2019-1003010,2019,7,0.00651,0.0,0,0,0,0,0,0,0
CVE-2018-8769,2018,10,0.00168,0.0,0,0,0,0,0,0,0
CVE-2019-19645,2019,5,0.00401,0.0,0,0,0,1,0,0,0
CVE-2019-18276,2019,10,0.50225,7.8,0,0,0,0,0,0,0
CVE-2015-5191,2015,7,0.00066,6.7,0,0,0,0,0,0,0
CVE-2015-5191,2015,7,0.00066,6.7,0,0,0,0,0,0,0
CVE-2017-7244,2017,7,0.00526,5.5,0,0,0,0,0,0,0
